Temp. (°C)	Defl. 1 (mm)	Defl. 2 (mm)	Defl. 3 (mm)
34.5	0.00	0.00	0.00	
35.2	0.00	0.00	0.00	
35.9	0.00	0.00	0.00	
36.5	0.00	0.00	0.00	
37.2	0.00	0.00	0.00	
37.8	0.00	0.00	0.00	
38.4	0.00	0.00	0.00	
39.0	0.00	0.00	0.00	
39.6	0.00	0.00	0.00	
40.2	0.00	0.00	0.00	
40.9	0.00	0.00	0.00	
41.6	0.00	0.00	0.00	
42.2	0.00	0.00	0.00	
42.8	0.00	0.00	0.00	
43.5	0.00	0.00	0.00	
44.2	0.00	0.00	0.00	
44.8	0.00	0.00	0.00	
45.4	0.00	0.00	0.00	
46.0	0.00	0.00	0.00	
46.6	0.00	0.00	0.00	
47.3	0.00	0.00	0.00	
48.0	0.00	0.00	0.00	
48.7	0.00	0.00	0.00	
49.4	0.00	0.00	0.00	
50.1	0.00	0.00	0.00	
50.7	0.00	0.00	0.00	
51.3	0.00	0.00	0.00	
51.9	0.00	0.00	0.00	
52.5	0.00	0.00	0.00	
53.1	0.00	0.00	0.00	
53.8	0.00	0.00	0.00	
54.4	0.00	0.00	0.00	
55.1	0.00	0.00	0.00	
55.8	0.00	0.00	0.00	
56.4	0.00	0.00	0.00	
57.0	0.00	0.00	0.00	
57.6	0.00	0.00	0.00	
58.3	0.00	0.00	0.00	
58.9	0.00	0.00	0.00	
59.6	0.00	0.00	0.00	
60.2	0.00	0.00	0.00	
60.8	0.00	0.00	0.00	
61.5	0.00	0.00	0.00	
62.1	0.00	0.00	0.00	
62.7	0.00	0.00	0.00	
63.3	0.00	0.00	0.00	
64.0	0.00	0.00	0.00	
64.6	0.00	0.00	0.00	
65.2	0.00	0.00	0.00	
65.8	0.00	0.00	0.00	
66.4	0.00	0.00	0.00	
67.1	0.00	0.00	0.00	
67.7	0.00	0.00	0.00	
68.5	0.00	0.00	0.00	
69.2	0.00	0.00	0.01	
69.9	0.00	0.00	0.01	
70.5	0.00	0.00	0.01	
71.2	0.00	0.00	0.01	
71.8	0.00	0.00	0.01	
72.4	0.00	0.00	0.01	
73.0	0.00	0.00	0.01	
73.7	0.00	0.00	0.01	
74.4	0.00	0.00	0.01	
75.1	0.00	0.00	0.01	
75.7	0.00	0.00	0.02	
76.3	0.00	0.00	0.02	
76.9	0.00	0.00	0.02	
77.5	0.00	0.00	0.02	
78.1	0.00	0.00	0.02	
78.8	0.00	0.00	0.02	
79.5	0.00	0.00	0.02	
80.2	0.00	0.00	0.02	
80.9	0.00	0.00	0.02	
81.6	0.00	0.00	0.02	
82.4	0.00	0.00	0.02	
83.0	0.00	0.00	0.02	
83.7	0.00	0.00	0.02	
84.3	0.00	0.00	0.02	
84.9	0.00	0.00	0.03	
85.5	0.00	0.00	0.03	
86.2	0.00	0.01	0.03	
86.9	0.00	0.01	0.03	
87.6	0.00	0.01	0.03	
88.3	0.00	0.01	0.03	
88.9	0.00	0.01	0.03	
89.6	0.00	0.01	0.04	
90.3	0.00	0.01	0.04	
90.9	0.00	0.02	0.04	
91.6	0.00	0.02	0.04	
92.2	0.00	0.02	0.04	
92.9	0.00	0.02	0.05	
93.5	0.00	0.03	0.05	
94.1	0.00	0.03	0.05	
94.7	0.00	0.03	0.05	
95.3	0.00	0.03	0.05	
96.0	0.00	0.04	0.05	
96.7	0.00	0.04	0.05	
97.3	0.00	0.05	0.06	
97.9	0.00	0.05	0.06	
98.7	0.00	0.07	0.06	
99.4	0.00	0.09	0.07	
100.1	0.00	0.10	0.07	
100.7	0.00	0.11	0.07	
101.4	0.00	0.12	0.08	
102.1	0.00	0.14	0.08	
102.7	0.00	0.17	0.08	
103.4	0.00	0.20	0.08	
104.0	0.01	0.25	0.08	
104.7	0.01	0.29	0.09	
105.3	0.01	0.38	0.09	
106.0	0.01	0.52	0.09	
106.6	0.01	0.65	0.09	
107.2	0.01	0.82	0.09	
107.8	0.01	1.01	0.09	
108.5	0.01		0.10	
109.2	0.01		0.10	
109.8	0.01		0.10	
110.4	0.01		0.10	
111.0	0.01		0.10	
111.6	0.01		0.11	
112.2	0.01		0.11	
112.8	0.01		0.11	
113.4	0.01		0.11	
114.0	0.01		0.11	
114.6	0.01		0.11	
115.4	0.01		0.11	
116.2	0.01		0.12	
116.8	0.01		0.12	
117.4	0.01		0.12	
118.1	0.01		0.12	
118.7	0.01		0.12	
119.3	0.01		0.13	
119.9	0.01		0.13	
120.7	0.01		0.13	
121.4	0.01		0.14	
122.0	0.01		0.14	
122.7	0.01		0.14	
123.4	0.01		0.14	
124.0	0.01		0.15	
124.6	0.01		0.15	
125.2	0.01		0.15	
125.8	0.01		0.15	
126.6	0.01		0.16	
127.3	0.01		0.16	
128.2	0.01		0.17	
128.8	0.01		0.17	
129.6	0.01		0.18	
130.3	0.01		0.19	
130.9	0.01		0.19	
131.6	0.01		0.20	
132.3	0.01		0.21	
133.0	0.01		0.21	
133.7	0.01		0.22	
134.5	0.01		0.22	
135.1	0.01		0.24	
135.8	0.01		0.24	
136.4	0.02		0.25	
137.0	0.02		0.26	
137.6	0.02		0.28	
138.2	0.02		0.29	
138.9	0.03		0.30	
139.5	0.03		0.31	
140.2	0.03		0.33	
140.8	0.04		0.36	
141.6	0.04		0.39	
142.2	0.04		0.41	
142.8	0.06		0.45	
143.4	0.07		0.47	
144.1	0.08		0.54	
144.7	0.08		0.56	
145.3	0.08		0.61	
146.0	0.08		0.66	
146.6	0.09		0.73	
147.3	0.11		0.82	
148.0	0.12		0.89	
148.6	0.15		1.00	
149.2	0.17		1.10	
149.8	0.23			
150.6	0.28			
151.2	0.35			
151.9	0.47			
152.7	0.60			
153.4	0.75			
154.0	0.84			
154.6	0.92			
155.2	1.01			
155.8	1.08			
156.4	1.19			
