Temp. (°C)	Defl. 1 (mm)	Defl. 2 (mm)	Defl. 3 (mm)
39.4	0.00	0.00	0.00	
40.1	0.00	0.00	0.00	
40.8	0.00	0.00	0.00	
41.4	0.00	0.00	0.00	
42.0	0.00	0.00	0.00	
42.6	0.00	0.00	0.00	
43.2	0.00	0.00	0.00	
43.8	0.00	0.00	0.00	
44.6	0.00	0.00	0.00	
45.3	0.00	0.00	0.00	
45.9	0.00	0.00	0.00	
46.5	0.00	0.00	0.00	
47.1	0.00	0.00	0.00	
47.8	0.00	0.00	0.01	
48.5	0.00	0.00	0.01	
49.2	0.00	0.00	0.01	
49.8	0.00	0.00	0.01	
50.5	0.00	0.00	0.01	
51.2	0.00	0.00	0.01	
51.8	0.00	0.00	0.02	
52.4	0.00	0.00	0.02	
53.0	0.00	0.00	0.02	
53.6	0.00	0.00	0.02	
54.2	0.00	0.00	0.02	
54.8	0.00	0.00	0.03	
55.4	0.00	0.00	0.03	
56.0	0.00	0.00	0.03	
56.6	0.00	0.00	0.03	
57.3	0.00	0.00	0.04	
57.9	0.00	0.00	0.04	
58.6	0.00	0.00	0.04	
59.3	0.00	0.00	0.05	
59.9	0.00	0.00	0.05	
60.6	0.00	0.00	0.05	
61.2	0.00	0.00	0.05	
61.9	0.00	0.00	0.06	
62.5	0.00	0.00	0.06	
63.2	0.00	0.00	0.07	
63.8	0.00	0.00	0.07	
64.4	0.00	0.00	0.08	
65.2	0.00	0.00	0.09	
65.9	0.00	0.00	0.09	
66.5	0.00	0.00	0.10	
67.1	0.00	0.00	0.10	
67.7	0.00	0.00	0.11	
68.5	0.00	0.00	0.12	
69.2	0.00	0.00	0.12	
69.8	0.00	0.01	0.12	
70.6	0.00	0.01	0.12	
71.2	0.00	0.01	0.13	
71.8	0.00	0.01	0.14	
72.4	0.00	0.01	0.14	
73.0	0.00	0.01	0.15	
73.7	0.00	0.02	0.15	
74.3	0.00	0.02	0.16	
75.0	0.00	0.02	0.16	
75.7	0.00	0.02	0.18	
76.4	0.00	0.02	0.19	
77.1	0.00	0.03	0.20	
77.8	0.00	0.03	0.20	
78.4	0.00	0.03	0.21	
79.1	0.00	0.03	0.22	
79.7	0.00	0.04	0.23	
80.4	0.00	0.04	0.25	
81.0	0.00	0.04	0.26	
81.7	0.00	0.05	0.27	
82.3	0.00	0.06	0.28	
83.0	0.00	0.07	0.29	
83.7	0.00	0.07	0.30	
84.4	0.00	0.09	0.31	
85.1	0.00	0.10	0.33	
85.7	0.00	0.10	0.36	
86.4	0.00	0.12	0.37	
87.0	0.00	0.14	0.39	
87.7	0.00	0.16	0.42	
88.4	0.00	0.18	0.45	
89.1	0.00	0.19	0.46	
89.8	0.00	0.23	0.48	
90.5	0.00	0.27	0.51	
91.1	0.00	0.30	0.54	
91.7	0.00	0.33	0.56	
92.3	0.00	0.37	0.57	
92.9	0.00	0.41	0.61	
93.5	0.00	0.45	0.63	
94.1	0.00	0.49	0.65	
94.8	0.00	0.55	0.68	
95.6	0.00	0.62	0.72	
96.2	0.00	0.71	0.75	
96.8	0.00	0.76	0.77	
97.4	0.00	0.84	0.80	
98.0	0.00	0.92	0.83	
98.6	0.00	0.99	0.88	
99.2	0.01	1.07	0.93	
99.9	0.01	1.20	0.98	
100.6	0.01		1.00	
101.2	0.01		1.05	
101.8	0.01		1.09	
102.5	0.01		1.16	
103.1	0.01			
103.7	0.01			
104.3	0.01			
105.0	0.01			
105.7	0.01			
106.4	0.01			
107.0	0.01			
107.6	0.01			
108.2	0.01			
108.8	0.01			
109.5	0.01			
110.1	0.01			
110.8	0.01			
111.5	0.01			
112.1	0.02			
112.7	0.02			
113.3	0.02			
113.9	0.02			
114.5	0.02			
115.1	0.02			
115.8	0.02			
116.5	0.02			
117.1	0.02			
117.7	0.02			
118.4	0.03			
119.0	0.03			
119.6	0.03			
120.2	0.03			
120.8	0.03			
121.6	0.03			
122.2	0.03			
122.8	0.03			
123.7	0.03			
124.3	0.03			
125.1	0.03			
125.7	0.03			
126.3	0.03			
127.1	0.03			
127.7	0.03			
128.3	0.03			
129.1	0.03			
129.7	0.04			
130.5	0.04			
131.1	0.04			
131.8	0.04			
132.5	0.04			
133.2	0.06			
133.9	0.06			
134.6	0.06			
135.2	0.06			
135.8	0.06			
136.5	0.06			
137.2	0.07			
137.8	0.07			
138.4	0.08			
139.0	0.09			
139.6	0.10			
140.2	0.11			
140.8	0.11			
141.4	0.12			
142.0	0.14			
142.6	0.18			
143.3	0.20			
143.9	0.22			
144.6	0.24			
145.3	0.27			
145.9	0.31			
146.7	0.38			
147.3	0.47			
148.0	0.58			
148.6	0.70			
149.2	0.81			
150.0	1.00			
